STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Male_under_5,Female_under_5,Total_Population,Households_with_Children_under_6,Total_Family_Households,Households_with_Children_under_1,Married_couple_Households,Married_couple_with_Children_und,Median_Household_Income,Median_Gross_Rent,Monthly_Owner_Costs__with_mortga,Median_Housing_Value,Median_Year_Structure_Built,Vacant_Housing_Units,Nursery_School_Enrollment,Kindergarten_Enrollment,Some_College,Bachelor_s_Degree_or_Higher,Mean_Travel_Time_to_Work,Households_with_No_Vehicle,Children_under_5,__Children_under_5,__Households_with_Children_under,__Married_couple_Households,__Married_couple_with_Children_u,Distance_to_Office__miles_,Travel_Time_to_Office__minutes_,has_grocery_store,has_park,has_bike_trail,travel_time_min,distance_miles,median_value,median_income,pct_kids_under6,has_grocery,has_bike,amenity_count,bg_id,travel_time_min_std,median_value_std,median_income_std,pct_kids_under6_std,amenity_count_std,commute_score,housing_afford_score,income_score,kids_score,amenity_score,weighted_score,chosen_flag,optmodel_score,optmodel_travel,optmodel_value
37,183,53525,1,371830535251,1500000US371830535251,Block Group 1,G5030,S,1288755,58797,35.781302,-78.8234436,16,110,1119,235,351,346,346,130,132500,1464,2095,347700,396,0,,,39,353,,0,126,11.260053619,66.951566952,98.575498575,37.037037037,4.7679783394,8.1736771533,0,1,1,8.1736771533,4.7679783394,347700,132500,66.951566952,0,1,2,522,0.1702174879,0.3097664937,0.4913971094,0.8625853044,0.6666666667,0.8297825121,0.6902335063,0.4913971094,0.8625853044,0.6666666667,0.7436116997,1,0.7436116997,8.1736771533,347700
37,183,53618,2,371830536182,1500000US371830536182,Block Group 2,G5030,S,2377475,8493,35.8548498,-78.9015239,57,43,1732,359,480,455,455,47,162782,-666666666,2058,382000,549,0,,,69,359,,0,100,5.7736720554,74.791666667,94.791666667,9.7916666667,9.0510644289,15.51611045,0,1,1,15.51611045,9.0510644289,382000,162782,74.791666667,0,1,2,833,0.3364979896,0.3415492958,0.622472698,0.9635949612,0.6666666667,0.6635020104,0.6584507042,0.622472698,0.9635949612,0.6666666667,0.7340449869,1,0.7340449869,15.51611045,382000
37,183,53620,4,371830536204,1500000US371830536204,Block Group 4,G5030,S,2989877,6950,35.8301263,-78.8690757,112,44,1530,224,306,280,280,13,139597,1599,2440,422400,528,14,,,53,481,,0,156,10.196078431,73.202614379,91.503267974,4.2483660131,7.0481592685,12.082558746,0,1,1,12.082558746,7.0481592685,422400,139597,73.202614379,0,1,2,19,0.2587400207,0.3789844329,0.5221164626,0.943122055,0.6666666667,0.7412599793,0.6210155671,0.5221164626,0.943122055,0.6666666667,0.7308436016,1,0.7308436016,12.082558746,422400
37,183,53411,2,371830534112,1500000US371830534112,Block Group 2,G5030,S,3923684,3869,35.7903656,-78.8919494,115,87,2202,425,568,545,545,76,180833,-666666666,2852,544900,668,0,,,56,464,,0,202,9.1734786558,74.823943662,95.950704225,13.38028169,8.094065368,13.875540631,0,1,1,13.875540631,8.094065368,544900,180833,74.823943662,0,1,2,465,0.299344806,0.4924944403,0.7006064226,0.964010809,0.6666666667,0.700655194,0.5075055597,0.7006064226,0.964010809,0.6666666667,0.7210615883,1,0.7210615883,13.875540631,544900
37,183,52504,2,371830525042,1500000US371830525042,Block Group 2,G5030,S,846729,0,35.8227541,-78.6901964,16,0,1570,183,313,267,267,16,85000,-666666666,1722,296800,809,29,,,13,435,,0,16,1.0191082803,58.466453674,85.303514377,5.1118210863,3.360073804,5.7601265211,0,1,1,5.7601265211,3.360073804,296800,85000,58.466453674,0,1,2,191,0.1155589852,0.2626019274,0.2857934354,0.7532654729,0.6666666667,0.8844410148,0.7373980726,0.2857934354,0.7532654729,0.6666666667,0.7188189133,1,0.7188189133,5.7601265211,296800
37,183,53612,2,371830536122,1500000US371830536122,Block Group 2,G5030,S,990413,0,35.8316879,-78.8365103,179,51,2565,367,644,535,535,98,130568,1532,1755,311100,805,0,,,301,687,,22,230,8.9668615984,56.98757764,83.074534161,15.217391304,5.015163643,8.597423388,0,1,1,8.597423388,5.015163643,311100,130568,56.98757764,0,1,2,15,0.179813862,0.2758524833,0.4830344505,0.7342120468,0.6666666667,0.820186138,0.7241475167,0.4830344505,0.7342120468,0.6666666667,0.7150658279,1,0.7150658279,8.597423388,311100
37,183,53426,1,371830534261,1500000US371830534261,Block Group 1,G5030,S,7139398,0,35.7712759,-78.8872776,185,187,3261,634,893,893,893,66,182831,2446,2497,513600,1013,96,,,145,735,,0,372,11.407543698,70.996640538,100,7.3908174692,8.3271248235,14.275071126,0,1,1,14.275071126,8.3271248235,513600,182831,70.996640538,0,1,2,767,0.308392778,0.4634914752,0.7092547624,0.9147009037,0.6666666667,0.691607222,0.5365085248,0.7092547624,0.9147009037,0.6666666667,0.713137546,1,0.713137546,14.275071126,513600
37,183,53608,2,371830536082,1500000US371830536082,Block Group 2,G5030,S,2669270,0,35.8616082,-78.8607269,98,193,3516,598,998,893,893,239,180523,1845,2294,385900,1228,0,,,109,752,,0,291,8.2764505119,59.919839679,89.478957916,23.947895792,7.0077975006,12.013367144,0,1,1,12.013367144,7.0077975006,385900,180523,59.919839679,0,1,2,759,0.2571730723,0.3451630838,0.6992645881,0.7719904926,0.6666666667,0.7428269277,0.6548369162,0.6992645881,0.7719904926,0.6666666667,0.7129315305,1,0.7129315305,12.013367144,385900
37,183,52802,1,371830528021,1500000US371830528021,Block Group 1,G5030,S,2420439,13056,35.7163962,-78.645891,151,118,2178,386,559,491,491,175,70256,1488,1171,193200,758,0,,,355,377,,0,269,12.350780533,69.051878354,87.835420394,31.305903399,8.9629142586,15.364995872,1,1,0,15.364995872,8.9629142586,193200,70256,69.051878354,1,0,2,385,0.3330757715,0.1666048925,0.221974055,0.8896451304,0.6666666667,0.6669242285,0.8333951075,0.221974055,0.8896451304,0.6666666667,0.7113521001,1,0.7113521001,15.364995872,193200
37,183,53620,3,371830536203,1500000US371830536203,Block Group 3,G5030,S,1324925,5327,35.8286141,-78.8558386,17,34,1871,245,397,358,358,0,127917,1808,2221,364800,560,0,,,68,400,,0,51,2.7258150722,61.712846348,90.176322418,0,6.0590479026,10.386939262,0,1,1,10.386939262,6.0590479026,364800,127917,61.712846348,0,1,2,249,0.2203401542,0.3256115641,0.4715596013,0.7950910902,0.6666666667,0.7796598458,0.6743884359,0.4715596013,0.7950910902,0.6666666667,0.7090547146,1,0.7090547146,10.386939262,364800
